second,mean_x,std_x,min_x,max_x,mean_y,std_y,mix_y,max_y,mean_z,std_z,min_z,max_z,Activity
0,-0.411802693,0.128543508,-0.5793968,0.107739076,-6.487147613,0.210982475,-7.1107793,-5.619191,7.502079847,0.107839845,7.201759,7.773973,0
1,1.87214481,1.769346924,-0.2896984,5.932832,-6.673051275,0.993691039,-8.956709,-4.3837833,6.907586299,0.736005629,5.3941364,7.8625584,0
2,7.268675454,2.182101681,2.3247697,10.788273,-2.967697646,2.710909788,-7.017405,2.2266076,5.832783204,0.659407868,4.3622355,7.9511437,0
3,3.59549834,3.809843437,-2.135628,9.722853,-5.425806269,3.112599969,-9.998186,1.8387469,6.26339757,1.201988037,4.096479,9.006987,0
4,-2.841167725,0.309695828,-3.6152446,-2.0638018,-5.872227092,0.677384549,-7.704541,-4.2305546,7.121129777,0.524158439,5.884948,8.50181,0
5,-2.604165931,0.329468064,-3.2345665,-1.8602947,-5.082188886,0.490666774,-6.3542113,-4.036624,8.024227448,0.422168074,7.1969705,9.109938,0
6,-2.382925023,0.297978626,-3.1364043,-1.7525556,-5.379100817,1.122489376,-9.196129,-3.715801,7.858177044,0.599688267,6.3111157,8.9998045,0
7,-2.122220387,0.652649903,-3.5170822,-0.7134721,-5.026865877,1.452792419,-7.1634517,-2.0254946,7.637862515,0.829341512,5.257667,9.035717,0
8,1.146991901,1.821591291,-2.9903579,2.906561,-8.240479543,1.431758106,-11.911154,-4.7261543,5.836289881,0.566548874,4.3622355,7.5680714,0
9,2.825980281,0.16692605,2.480393,3.359065,-7.790756533,0.14021576,-8.137892,-7.5106106,5.621972503,0.099409732,5.4420204,5.8226986,0
10,3.572029209,0.513508369,2.7222073,4.781221,-7.707390151,0.264796244,-8.516175,-7.141904,5.231306778,0.42687409,4.015076,5.731719,0
11,6.057593656,0.465830443,4.5537715,7.0844426,-5.368470566,0.791627527,-8.018182,-4.0892963,6.190854977,0.337048619,5.1906295,6.7947445,0
12,4.390288767,0.940369591,1.9895816,5.973533,-6.812882272,1.701727391,-11.599907,-4.43885,5.351548652,1.697701511,1.9488802,7.0605006,0
13,3.951351764,0.268886268,2.7269957,4.4484267,-9.01264588,0.601292281,-10.726024,-6.4763155,2.679595396,0.666144296,1.8962077,4.6710877,0
14,3.122398141,2.002179479,-0.10055647,8.159439,-6.767330792,2.084906257,-10.493786,-1.1228806,5.956366826,1.309404356,4.0677485,8.980651,0
15,5.435484281,2.023919395,-0.31603462,13.654132,-7.155670306,3.599161321,-15.890317,4.1683054,3.387101087,2.838225793,-2.2481554,9.260772,0
16,5.182769547,0.218839299,4.7788267,5.793968,-8.515522406,0.423332103,-9.959879,-7.699753,1.417367404,0.573935499,-0.1412579,2.9735985,0
17,5.056650716,0.393439991,4.3143516,6.093243,-8.094892654,0.437241636,-9.045294,-6.540959,3.07555764,0.368999821,2.456451,4.534618,0
18,4.786761646,0.235037807,4.1276035,5.109226,-7.438476876,0.330858768,-7.908048,-6.3949127,4.712096706,0.241163986,4.297592,5.197812,0
18,4.576805483,0.280237254,3.751714,5.020641,-7.857522269,0.469820537,-9.093178,-7.28795,4.531645872,0.215617247,4.0892963,4.948815,1
19,4.659020733,0.206848491,4.084508,5.0996494,-7.766502994,0.305531713,-8.7771435,-7.1754227,4.379378018,0.284530208,4.0797195,5.6215854,1
20,3.64571622,1.149968214,1.7669208,6.3230867,-6.263352588,1.60390632,-8.918402,-2.1883004,6.708238758,1.437243865,4.209007,8.841787,1
21,4.979141479,1.144561232,2.930503,7.809886,-2.854323744,2.09163078,-8.9519205,1.436521,8.211362094,0.84238443,4.9655743,9.55047,1
22,5.721280171,0.973967098,4.10845,7.97748,-5.713786308,1.422836046,-7.608773,-1.0223241,6.196672837,0.734486005,4.5394063,8.054094,1
23,6.216353172,1.176824214,1.9991584,7.8984714,-5.468955225,1.229875106,-8.415619,-2.858677,5.720897065,1.564576394,-1.9776106,10.761936,1
24,5.846713101,0.442186388,4.783615,7.6614456,-6.57218036,0.698207676,-7.7931266,-5.092467,4.539067835,0.824354953,3.2273839,6.847417,1
25,5.545817552,2.465297322,-6.5816603,21.150377,-7.896053021,3.981461144,-28.780699,20.501549,2.77916033,3.606113936,-18.107347,27.899632,1
