raw,type,extend,xvalue,yvalue,zvalue,time,seconds
8.73E+11,1,3,1.3144168,-6.8929067,7.0461354,0,0
8.73E+11,1,3,1.3144168,-6.8929067,7.0461354,10000000,0.01
8.73E+11,1,3,1.3144168,-6.8929067,7.0461354,20000000,0.02
8.73E+11,1,3,1.3144168,-6.8929067,7.0461354,30000000,0.03
8.73E+11,1,3,1.3144168,-6.8929067,7.0461354,40000000,0.04
8.73E+11,1,3,1.3144168,-6.8929067,7.0461354,50000000,0.05
8.73E+11,1,3,1.3144168,-6.8929067,7.0461354,63373385,0.063373385
8.73E+11,1,3,1.3958195,-6.777985,7.204153,73373385,0.073373385
8.73E+11,1,3,1.3958195,-6.777985,7.204153,83373385,0.083373385
8.73E+11,1,3,1.3958195,-6.777985,7.204153,93373385,0.093373385
8.73E+11,1,3,1.3958195,-6.777985,7.204153,103373385,0.103373385
8.73E+11,1,3,1.3958195,-6.777985,7.204153,113373385,0.113373385
8.73E+11,1,3,1.3958195,-6.777985,7.204153,121763437,0.121763437
8.73E+11,1,3,1.3120226,-6.6989765,6.9479733,282594791,0.282594791
8.73E+11,1,3,1.3263878,-6.6965823,7.005434,286324166,0.286324166
8.73E+11,1,3,1.3623008,-6.9862804,7.086837,303540312,0.303540312
8.73E+11,1,3,1.364695,-7.038953,7.098808,306724947,0.306724947
8.73E+11,1,3,1.3838485,-7.0221934,7.1514807,311300937,0.311300937
8.73E+11,1,3,1.3742718,-6.919243,7.2544312,317684062,0.317684062
8.73E+11,1,3,1.3575124,-6.8450227,7.2664022,330827291,0.330827291
8.73E+11,1,3,1.3670892,-6.742072,7.192182,337585364,0.337585364
8.73E+11,1,3,1.4269443,-6.634333,7.1586633,350723958,0.350723958
8.73E+11,1,3,1.2473791,-6.4787097,7.177817,357749843,0.357749843
8.73E+11,1,3,1.1947067,-6.4499793,7.2233067,370612239,0.370612239
8.73E+11,1,3,1.3814543,-6.64391,7.33344,377655468,0.377655468
8.73E+11,1,3,1.5298948,-6.9264255,7.2951326,390562187,0.390562187
8.73E+11,1,3,1.5586253,-7.053318,7.275979,397561197,0.397561197
8.73E+11,1,3,1.6112977,-7.2352777,7.309498,410140676,0.410140676
8.73E+11,1,3,1.5849615,-7.180211,7.33344,417413697,0.417413697
8.73E+11,1,3,1.3910311,-6.727707,7.249643,430877447,0.430877447
8.73E+11,1,3,1.3479356,-6.603208,7.16824,437374479,0.437374479
8.73E+11,1,3,1.3215994,-6.4906807,7.180211,451351822,0.451351822
8.73E+11,1,3,1.3455414,-6.540959,7.1754227,457740156,0.457740156
8.73E+11,1,3,1.4508862,-6.979098,7.2185183,471076562,0.471076562
8.73E+11,1,3,1.5035586,-7.089231,7.1706343,477973541,0.477973541
8.73E+11,1,3,1.4867992,-7.03177,7.2664022,490916562,0.490916562
8.73E+11,1,3,1.5131354,-7.00304,7.216124,497860989,0.497860989
8.73E+11,1,3,1.4580688,-6.7708025,7.120356,510768906,0.510768906
8.73E+11,1,3,1.3742718,-6.6486983,7.07726,517895885,0.517895885
8.73E+11,1,3,1.3239936,-6.5840545,7.07726,530669947,0.530669947
8.73E+11,1,3,1.3838485,-6.6510925,7.141904,537650156,0.537650156
8.73E+11,1,3,1.4748282,-6.9024835,7.1107793,549538645,0.549538645
8.73E+11,1,3,1.4532804,-6.873753,7.086837,557988801,0.557988801
8.73E+11,1,3,1.42455,-6.694188,7.1107793,569592656,0.569592656
8.73E+11,1,3,1.4149733,-6.6750345,7.1514807,577441510,0.57744151
8.73E+11,1,3,1.496376,-6.706159,7.177817,590311301,0.590311301
8.73E+11,1,3,1.4915876,-6.754043,7.1347213,597355989,0.597355989
8.73E+11,1,3,1.4317327,-6.6654577,7.1490865,610263489,0.610263489
8.73E+11,1,3,1.3982137,-6.6367273,7.1059904,617373124,0.617373124
8.73E+11,1,3,1.4053963,-6.6510925,7.16824,630258906,0.630258906
8.73E+11,1,3,1.4628572,-6.7827735,7.1586633,636966770,0.63696677
8.74E+11,1,3,1.6112977,-6.933608,7.2544312,650109895,0.650109895
8.74E+11,1,3,1.6280571,-6.9479733,7.2831616,657099478,0.657099478
8.74E+11,1,3,1.541866,-6.847417,7.216124,670003072,0.670003072
8.74E+11,1,3,1.4508862,-6.8043213,7.153875,677002499,0.677002499
8.74E+11,1,3,1.4173675,-6.7564373,7.16824,689912291,0.689912291
8.74E+11,1,3,1.4796166,-6.742072,7.189788,696574999,0.696574999
8.74E+11,1,3,1.5107412,-6.742072,7.1706343,710281406,0.710281406
8.74E+11,1,3,1.5227122,-6.7205243,7.16824,715684218,0.715684218
8.74E+11,1,3,1.5251064,-6.6630635,7.141904,730253124,0.730253124
8.74E+11,1,3,1.4077905,-6.6415157,7.144298,736703906,0.736703906
8.74E+11,1,3,1.328782,-6.715736,7.2209125,749609635,0.749609635
8.74E+11,1,3,1.3359646,-6.7444663,7.237672,756599114,0.756599114
